id,category,priority,status,status_reason,platform,product_found,codename,submitted_date,title,hsd_link
14022090207,Confirmed Silicon,p3-medium,complete,complete.product_changed,Birch Stream Platform,Avenue City,GNR,04/12/2024,"[Cluster][FLEX GNR AP A2][MASTER][OSPL] (0x620 -> 0x630/0x640) hang with Bank4 during cold/warm reset - Flavor 1&2",https://hsdes.intel.com/appstore/article/#/14022090207
14022065692,Confirmed Silicon,p4-low,complete,complete.product_changed,Birch Stream Platform,Avenue City,SRF,04/10/2024,"[Cluster][FLEX SRF-AP C00][RPP] Machine Check Bank 0 FRC error Skt1 MC status 0xB200000004100004 class FATAL during sandstone-rf-cold",https://hsdes.intel.com/appstore/article/#/14022065692
14022041133,Confirmed Silicon,p4-low,complete,complete.product_changed,Birch Stream Platform,Avenue City,SRF,03/29/2024,"[Cluster][FLEX SRF_AP C0][SFT][RPP] FRC error McBank 0x0 MC status 0xB200000004100004 class FATAL socket 0 during sandstone-rf-cold",https://hsdes.intel.com/appstore/article/#/14022041133
14021910077,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,03/11/2024,"[Cluster][FLEX GNR_AP A2][RPP] Machine Check Bank 9 Last Level Cache Corrected Error during Sandstone",https://hsdes.intel.com/appstore/article/#/14021910077
14021816693,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,03/01/2024,"[Cluster][FLEX GNR AP A2][X3][ES2][RPP] Bank 0 ifu_cr_mc0_status = 0xb200000000060005 during sandstone-rf-cold - TSL",https://hsdes.intel.com/appstore/article/#/14021816693
14021803069,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,02/29/2024,"[Cluster][FLEX GNR_AP A2][RPP] Machine Check Bank 9 Last Level Cache Corrected Error during Sandstone",https://hsdes.intel.com/appstore/article/#/14021803069
14021749724,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Beechnut City,SRF,02/26/2024,"[Cluster][FLEX SRF_SP C0][RPP] Bank 0x1 correctable error seen during sandstone-rf-cold, QDF-Q4WS",https://hsdes.intel.com/appstore/article/#/14021749724
14021733809,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,02/23/2024,"[Cluster][FLEX GNR_AP A2][RPP] Machine Check Bank 9 Last Level Cache Corrected Error during Sandstone",https://hsdes.intel.com/appstore/article/#/14021733809
14021716302,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,02/22/2024,"[Cluster][FLEX GNR_AP A2][RPP] Loop McBank 0x9 class CORRECTED, Offlining CPU 0 due to cache error threshold during sandstone-rf-cold",https://hsdes.intel.com/appstore/article/#/14021716302
14021713768,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Beechnut City,GNR,02/22/2024,"[Cluster][FLEX GNR_SP A2][RPP] S0 C89 McBank 0x0 class CORRECTED during sandstone-rf-cold",https://hsdes.intel.com/appstore/article/#/14021713768
14021676196,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Beechnut City,GNR,02/16/2024,"[Cluster][FLEX GNR_SP A2][RPP] Machine Check Bank 9 Last Level Cache Corrected Error during Sandstone",https://hsdes.intel.com/appstore/article/#/14021676196
22019405820,Confirmed Silicon,p1-showstopper,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,01/25/2024,"[GNR AP B0 PO][Stability] Acode MCA_HAL_IOSF_BRIDGE_RUN_BUSY_TIMEOUT_E and Punit MCA_DISP_RUN_BUSY_TIMEOUT (GPSB hardhang) during G3 cycling or sandstone",https://hsdes.intel.com/appstore/article/#/22019405820
14021318062,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Beechnut City,GNR,01/08/2024,"[Cluster][FLEX GNR_SP A2][RPP] S0 C2 T0 McBank 0x0 class CORRECTED during multiple Burnin tests - Sandstone",https://hsdes.intel.com/appstore/article/#/14021318062
14021313669,Confirmed Silicon,p2-high,complete,complete.product_changed,Birch Stream Platform,Avenue City,GNR,01/07/2024,"[Cluster][FLEX GNR_AP A2][Master] PUNIT WATCHDOG error_domain Q-channel after a warm reset during sandstone-rf-warm",https://hsdes.intel.com/appstore/article/#/14021313669
14021017169,Confirmed Silicon,p4-low,complete,complete.product_changed,Birch Stream Platform,Avenue City,GNR,11/27/2023,"[Cluster][FLEX GNR AP A2][X3][ES2][MASTER][ACode] Acode fatal ERROR_IOSF_BRIDGE_RUN_BUSY_TIMEOUT_E 0xa20000000000040e during several tests",https://hsdes.intel.com/appstore/article/#/14021017169
16022337351,Confirmed Silicon,p2-high,complete,complete.product_changed,Birch Stream Platform,Beechnut City,SRF,10/25/2023,"[Cluster][FLEX SRF A0/B0/C0][Master] Node hang MCA from BUS ERROR (mcacod:0x4 FRC Error) during sandstone-chaos (lockstep)",https://hsdes.intel.com/appstore/article/#/16022337351
22018873809,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Beechnut City,GNR,09/21/2023,"[Cluster][FLEX GNR-SP_X2-ES1][RPP] Machine Check Bank 1 0xbf80000001000174 Socket 0 Core 102 during sandstone",https://hsdes.intel.com/appstore/article/#/22018873809
15014273364,Confirmed Silicon,p2-high,complete,complete.product_changed,Birch Stream Platform,Beechnut City,SRF,09/14/2023,"[Cluster][FLEX SRF SP A0/B0][2S][Master] Node hang MCA from PUNIT ERROR (mcacod:0x402 Pcode Error)(mscod:0x1f00 MCA_TELE_INIT_FAIL)",https://hsdes.intel.com/appstore/article/#/15014273364
14020056414,Confirmed Silicon,p2-high,complete,complete.product_changed,Birch Stream Platform,Avenue City,GNR,08/09/2023,"[Cluster][FLEX GNR-AP_X1_X3][Master] Memory Errors RETRY_RD_ERR_LOG_MCDDC_DP_REG class SRAR/DCU during sandstone-rf-warm",https://hsdes.intel.com/appstore/article/#/14020056414
14020049913,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,08/08/2023,"[Cluster][FLEX GNR AP A2][ES1 X3][RPP] Core_3_DCU Machine Check Exception Bank 1 bf80000001000174 during sandstone-chaos",https://hsdes.intel.com/appstore/article/#/14020049913
14020047034,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,08/08/2023,"[Cluster][FLEX GNR-AP_X3-ES1][RPP] Bank 0x3 class CORRECTED during TSL",https://hsdes.intel.com/appstore/article/#/14020047034
16021442025,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,07/27/2023,"[Cluster][FLEX GNR AP A2 X3][RPP] System failed with Bank 1 bf80000001000114 with Sandstonev150 amx tests",https://hsdes.intel.com/appstore/article/#/16021442025
14019907854,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,07/21/2023,"[Cluster][FLEX GNR-AP_X3-ES1][RPP] Machine Check Exception Bank 1 0xBF80000001000174 During Sandstone Chaos",https://hsdes.intel.com/appstore/article/#/14019907854
14019781388,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,07/05/2023,"[Cluster][FLEX GNR-AP_X3-ES1 SFT][RPP] McBank 0x1 Fatal 0xBF80000001000174 during sandstone-combo-mode-v0.141",https://hsdes.intel.com/appstore/article/#/14019781388
14019781095,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,07/04/2023,"[Cluster][FLEX GNR-AP_X3-A2][RPP] McBank 0x9 class CORRECTED during gnr-tsl and Sandstone",https://hsdes.intel.com/appstore/article/#/14019781095
14019778377,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Beechnut City,GNR,07/04/2023,"[Cluster][FLEX GNR_SP A2][RPP] Machine Check Bank 1 DCU error 0xbd80000000100134 during sandstone",https://hsdes.intel.com/appstore/article/#/14019778377
16021155128,Confirmed Silicon,p3-medium,complete,complete.product_changed,Birch Stream Platform,Avenue City,GNR,06/30/2023,"[GNR A1 VV2][X3][HSIO][PCIe][Xprod] Xprod stress tests failing with SUT soft lockup (IFU parity error on specific part)",https://hsdes.intel.com/appstore/article/#/16021155128
